2026-01-11 17:36:24 | ERROR    | app.services.authSecurity:hash_password:43 | Error hashing password: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72]) | {'exc_info': True}
2026-01-11 17:36:24 | ERROR    | app.routes.auth:register:44 | Password hashing error: Password hashing failed: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72]) | {}
2026-01-11 17:36:24 | ERROR    | app.utils.error_handler:app_exception_handler:16 | Application error: Password processing failed | {'extra': {'error_code': 'VALIDATION_ERROR', 'status_code': 400, 'path': '/api/auth/register', 'method': 'POST'}}
2026-01-11 17:44:54 | ERROR    | app.services.authSecurity:hash_password:44 | Error hashing password: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72]) | {'exc_info': True}
2026-01-11 17:44:54 | ERROR    | app.routes.auth:register:44 | Password hashing error: Password hashing failed: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72]) | {}
2026-01-11 17:44:54 | ERROR    | app.utils.error_handler:app_exception_handler:16 | Application error: Password processing failed | {'extra': {'error_code': 'VALIDATION_ERROR', 'status_code': 400, 'path': '/api/auth/register', 'method': 'POST'}}
2026-01-11 22:42:47 | ERROR    | app.services.authSecurity:hash_password:44 | Error hashing password: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72]) | {'exc_info': True}
2026-01-11 22:42:47 | ERROR    | app.routes.auth:register:44 | Password hashing error: Password hashing failed: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72]) | {}
2026-01-11 22:42:47 | ERROR    | app.utils.error_handler:app_exception_handler:16 | Application error: Password processing failed | {'extra': {'error_code': 'VALIDATION_ERROR', 'status_code': 400, 'path': '/api/auth/register', 'method': 'POST'}}
2026-01-11 23:08:46 | ERROR    | app.utils.error_handler:app_exception_handler:16 | Application error: User with this email already exists | {'extra': {'error_code': 'CONFLICT_ERROR', 'status_code': 409, 'path': '/api/auth/register', 'method': 'POST'}}
2026-01-11 23:10:20 | ERROR    | app.utils.error_handler:app_exception_handler:16 | Application error: Incorrect email or password | {'extra': {'error_code': 'AUTHENTICATION_ERROR', 'status_code': 401, 'path': '/api/auth/login', 'method': 'POST'}}
